,runnerId,5K,10K,15K,20K,25K,30K,35K,40K
0,5276304,0:16:26,0:32:03,0:46:54,1:02:08,1:17:34,1:31:38,1:46:32,2:01:54
1,5276303,0:16:24,0:32:00,0:46:52,1:02:07,1:17:33,1:31:38,1:46:32,2:01:58
2,5240845,0:16:27,0:32:02,0:46:53,1:02:08,1:17:33,1:31:38,1:46:36,2:02:51
3,5247999,0:16:24,0:32:00,0:46:52,1:02:06,1:17:32,1:32:15,1:48:10,2:04:23
4,5240844,0:16:25,0:32:00,0:46:53,1:02:06,1:17:32,1:31:52,1:47:55,2:04:13
5,5243660,0:16:25,0:32:02,0:46:53,1:02:08,1:17:34,1:32:15,1:48:15,2:04:51
6,5243927,0:16:25,0:32:01,0:46:52,1:02:06,1:17:32,1:32:01,1:48:02,2:04:42
7,5243928,0:16:25,0:32:01,0:46:52,1:02:07,1:17:32,1:31:38,1:47:02,2:05:41
8,5240846,0:16:25,0:32:01,0:46:52,1:02:07,1:17:34,1:33:25,1:50:29,2:07:24
9,5255154,0:16:25,0:32:02,0:46:53,1:02:08,1:17:34,1:31:50,1:47:58,2:06:12
10,5276305,0:16:26,0:32:03,0:46:54,1:02:09,1:18:16,1:34:02,1:50:49,2:07:44
11,5267787,0:16:40,0:32:16,0:48:28,1:04:58,1:21:53,1:37:41,1:53:40,2:09:47
12,5243688,0:16:25,0:32:01,0:47:15,1:03:03,1:19:46,1:36:03,1:53:04,2:10:56
13,5231642,0:16:43,0:32:39,0:48:51,1:04:59,1:21:53,1:38:15,1:55:32,2:12:56
14,5247625,0:16:31,0:32:03,0:47:23,1:03:03,1:19:47,1:36:09,1:54:22,2:12:42
15,5247659,0:16:40,0:32:16,0:48:28,1:04:59,1:21:53,1:38:05,1:55:33,2:13:43
16,5247629,0:16:57,0:33:34,0:50:12,1:06:44,1:23:39,1:40:18,1:57:43,2:15:23
17,5276306,0:16:57,0:33:34,0:50:12,1:06:42,1:23:24,1:39:33,1:56:50,2:15:29
18,5242668,0:17:05,0:34:15,0:51:23,1:08:12,1:25:24,1:42:04,1:59:16,2:16:28
19,5275395,0:17:04,0:33:51,0:50:45,1:07:43,1:25:16,1:42:01,1:59:36,2:17:13
20,5252994,0:17:05,0:34:17,0:51:33,1:08:55,1:26:47,1:43:56,2:01:06,2:17:53
21,5247720,0:17:29,0:34:53,0:51:34,1:08:55,1:26:48,1:44:01,2:01:47,2:18:56
22,5247665,0:16:57,0:33:34,0:50:12,1:06:43,1:23:26,1:40:47,1:59:24,2:18:44
23,5274245,0:16:46,0:33:23,0:50:13,1:07:32,1:25:16,1:42:38,2:00:53,2:18:58
24,5254595,0:17:41,0:34:52,0:52:04,1:09:12,1:26:46,1:43:55,2:01:08,2:18:45
25,5242817,0:17:30,0:34:53,0:52:05,1:09:14,1:26:48,1:43:57,2:01:27,2:18:59
26,5274369,0:16:29,0:32:54,0:49:59,1:06:37,1:24:27,1:41:59,2:00:40,2:18:57
27,5247745,0:17:17,0:34:21,0:51:22,1:08:43,1:26:35,1:43:49,2:01:34,2:19:35
28,5247630,0:17:05,0:33:41,0:50:39,1:07:37,1:25:33,1:43:07,2:01:14,2:19:40
29,5244865,0:16:43,0:32:39,0:48:51,1:05:15,1:22:11,1:38:45,1:56:54,2:17:50
30,5237004,0:17:25,0:34:36,0:51:53,1:09:39,1:27:58,1:45:37,2:03:24,2:20:47
31,5276286,0:18:42,0:36:00,0:53:54,1:11:54,1:29:58,1:47:13,2:04:39,2:21:03
32,5268132,0:17:43,0:34:52,0:52:04,1:09:19,1:27:07,1:44:31,2:02:32,2:20:35
33,5236980,0:16:58,0:33:34,0:50:45,1:08:11,1:26:01,1:43:23,2:01:41,2:20:10
34,5276284,0:18:40,0:36:01,0:53:54,1:11:54,1:29:55,1:47:13,2:04:39,2:21:07
35,5256579,0:17:05,0:34:17,0:51:33,1:08:55,1:26:47,1:43:56,2:01:40,2:20:17
36,5245943,0:17:08,0:34:17,0:51:33,1:08:55,1:26:48,1:44:01,2:02:03,2:20:38
37,5276282,0:18:40,0:36:01,0:53:55,1:11:53,1:29:55,1:47:13,2:04:39,2:21:06
38,5276285,0:18:40,0:36:01,0:53:54,1:11:52,1:29:55,1:47:12,2:04:39,2:21:32
39,5252197,0:17:44,0:34:52,0:51:59,1:09:03,1:26:47,1:44:01,2:02:07,2:20:53
40,5243929,0:18:40,0:36:01,0:53:54,1:11:53,1:29:57,1:47:13,2:04:40,2:21:50
